depth,parent_code,parent_display,code,display,is_abstract,definition
1,2133-7,Ethnicity,2135-2,Hispanic or Latino,false,Hispanic or Latino
2,2135-2,Hispanic or Latino,2137-8,Spaniard,false,Spaniard
2,2135-2,Hispanic or Latino,2148-5,Mexican,false,Mexican
2,2135-2,Hispanic or Latino,2155-0,Central American,false,Central American
2,2135-2,Hispanic or Latino,2165-9,South American,false,South American
2,2135-2,Hispanic or Latino,2178-2,Latin American,false,Latin American
2,2135-2,Hispanic or Latino,2180-8,Puerto Rican,false,Puerto Rican
2,2135-2,Hispanic or Latino,2182-4,Cuban,false,Cuban
2,2135-2,Hispanic or Latino,2184-0,Dominican,false,Dominican
2,2135-2,Hispanic or Latino,2138-6,Andalusian,false,Andalusian
2,2135-2,Hispanic or Latino,2139-4,Asturian,false,Asturian
2,2135-2,Hispanic or Latino,2140-2,Castillian,false,Castillian
2,2135-2,Hispanic or Latino,2141-0,Catalonian,false,Catalonian
2,2135-2,Hispanic or Latino,2142-8,Belearic Islander,false,Belearic Islander
2,2135-2,Hispanic or Latino,2143-6,Gallego,false,Gallego
2,2135-2,Hispanic or Latino,2144-4,Valencian,false,Valencian
2,2135-2,Hispanic or Latino,2145-1,Canarian,false,Canarian
2,2135-2,Hispanic or Latino,2146-9,Spanish Basque,false,Spanish Basque
2,2135-2,Hispanic or Latino,2149-3,Mexican American,false,Mexican American
2,2135-2,Hispanic or Latino,2150-1,Mexicano,false,Mexicano
2,2135-2,Hispanic or Latino,2151-9,Chicano,false,Chicano
2,2135-2,Hispanic or Latino,2152-7,La Raza,false,La Raza
2,2135-2,Hispanic or Latino,2153-5,Mexican American Indian,false,Mexican American Indian
2,2135-2,Hispanic or Latino,2156-8,Costa Rican,false,Costa Rican
2,2135-2,Hispanic or Latino,2157-6,Guatemalan,false,Guatemalan
2,2135-2,Hispanic or Latino,2158-4,Honduran,false,Honduran
2,2135-2,Hispanic or Latino,2159-2,Nicaraguan,false,Nicaraguan
2,2135-2,Hispanic or Latino,2160-0,Panamanian,false,Panamanian
2,2135-2,Hispanic or Latino,2161-8,Salvadoran,false,Salvadoran
2,2135-2,Hispanic or Latino,2162-6,Central American Indian,false,Central American Indian
2,2135-2,Hispanic or Latino,2163-4,Canal Zone,false,Canal Zone
2,2135-2,Hispanic or Latino,2166-7,Argentinean,false,Argentinean
2,2135-2,Hispanic or Latino,2167-5,Bolivian,false,Bolivian
2,2135-2,Hispanic or Latino,2168-3,Chilean,false,Chilean
2,2135-2,Hispanic or Latino,2169-1,Colombian,false,Colombian
2,2135-2,Hispanic or Latino,2170-9,Ecuadorian,false,Ecuadorian
2,2135-2,Hispanic or Latino,2171-7,Paraguayan,false,Paraguayan
2,2135-2,Hispanic or Latino,2172-5,Peruvian,false,Peruvian
2,2135-2,Hispanic or Latino,2173-3,Uruguayan,false,Uruguayan
2,2135-2,Hispanic or Latino,2174-1,Venezuelan,false,Venezuelan
2,2135-2,Hispanic or Latino,2175-8,South American Indian,false,South American Indian
2,2135-2,Hispanic or Latino,2176-6,Criollo,false,Criollo
1,2133-7,Ethnicity,2186-5,Not Hispanic or Latino,false,"Note that this term remains in the table for completeness, even though within HL7, the notion of ""not otherwise coded"" term is deprecated."
