depth,parent_code,parent_display,code,display,is_abstract,definition
0,,,1000-9,Race,TRUE,"Race, Note that this is an abstract 'grouping' concept and not for use as a real concept"
1,1000-9,Race,1002-5,American Indian or Alaska Native,FALSE,American Indian or Alaska Native
2,1002-5,American Indian or Alaska Native,1004-1,American Indian,FALSE,American Indian
2,1002-5,American Indian or Alaska Native,1735-0,Alaska Native,FALSE,Alaska Native
2,1002-5,American Indian or Alaska Native,1006-6,Abenaki,FALSE,Abenaki
2,1002-5,American Indian or Alaska Native,1008-2,Algonquian,FALSE,Algonquian
2,1002-5,American Indian or Alaska Native,1010-8,Apache,FALSE,Apache
2,1002-5,American Indian or Alaska Native,1021-5,Arapaho,FALSE,Arapaho
2,1002-5,American Indian or Alaska Native,1026-4,Arikara,FALSE,Arikara
2,1002-5,American Indian or Alaska Native,1028-0,Assiniboine,FALSE,Assiniboine
2,1002-5,American Indian or Alaska Native,1030-6,Assiniboine Sioux,FALSE,Assiniboine Sioux
2,1002-5,American Indian or Alaska Native,1033-0,Bannock,FALSE,Bannock
2,1002-5,American Indian or Alaska Native,1035-5,Blackfeet,FALSE,Blackfeet
2,1002-5,American Indian or Alaska Native,1037-1,Brotherton,FALSE,Brotherton
2,1002-5,American Indian or Alaska Native,1039-7,Burt Lake Band,FALSE,Burt Lake Band
2,1002-5,American Indian or Alaska Native,1041-3,Caddo,FALSE,Caddo
2,1002-5,American Indian or Alaska Native,1044-7,Cahuilla,FALSE,Cahuilla
2,1002-5,American Indian or Alaska Native,1053-8,California Tribes,FALSE,California Tribes
2,1002-5,American Indian or Alaska Native,1068-6,Canadian and Latin American Indian,FALSE,Canadian and Latin American Indian
2,1002-5,American Indian or Alaska Native,1076-9,Catawba,FALSE,Catawba
2,1002-5,American Indian or Alaska Native,1078-5,Cayuse,FALSE,Cayuse
2,1002-5,American Indian or Alaska Native,1080-1,Chehalis,FALSE,Chehalis
2,1002-5,American Indian or Alaska Native,1082-7,Chemakuan,FALSE,Chemakuan
2,1002-5,American Indian or Alaska Native,1086-8,Chemehuevi,FALSE,Chemehuevi
2,1002-5,American Indian or Alaska Native,1088-4,Cherokee,FALSE,Cherokee
