concept_id,concept_name,depth,parent_code,parent_display,code,display,is_abstract,definition
8657,American Indian or Alaska Native,1,1000-9,Race,1002-5,American Indian or Alaska Native,FALSE,American Indian or Alaska Native
38003572,American Indian,2,1002-5,American Indian or Alaska Native,1004-1,American Indian,FALSE,American Indian
38003573,Alaska Native,2,1002-5,American Indian or Alaska Native,1735-0,Alaska Native,FALSE,Alaska Native
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1006-6,Abenaki,FALSE,Abenaki
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1008-2,Algonquian,FALSE,Algonquian
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1010-8,Apache,FALSE,Apache
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1021-5,Arapaho,FALSE,Arapaho
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1026-4,Arikara,FALSE,Arikara
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1028-0,Assiniboine,FALSE,Assiniboine
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1030-6,Assiniboine Sioux,FALSE,Assiniboine Sioux
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1033-0,Bannock,FALSE,Bannock
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1035-5,Blackfeet,FALSE,Blackfeet
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1037-1,Brotherton,FALSE,Brotherton
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1039-7,Burt Lake Band,FALSE,Burt Lake Band
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1041-3,Caddo,FALSE,Caddo
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1044-7,Cahuilla,FALSE,Cahuilla
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1053-8,California Tribes,FALSE,California Tribes
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1068-6,Canadian and Latin American Indian,FALSE,Canadian and Latin American Indian
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1076-9,Catawba,FALSE,Catawba
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1078-5,Cayuse,FALSE,Cayuse
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1080-1,Chehalis,FALSE,Chehalis
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1082-7,Chemakuan,FALSE,Chemakuan
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1086-8,Chemehuevi,FALSE,Chemehuevi
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1088-4,Cherokee,FALSE,Cherokee
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1100-7,Cherokee Shawnee,FALSE,Cherokee Shawnee
8657,American Indian or Alaska Native,2,1002-5,American Indian or Alaska Native,1102-3,Cheyenne,FALSE,Cheyenne
