depth,parent_code,parent_display,code,display,is_abstract,definition
1,1000-9,Race,1002-5,American Indian or Alaska Native,false,American Indian or Alaska Native
2,1002-5,American Indian or Alaska Native,1004-1,American Indian,false,American Indian
2,1002-5,American Indian or Alaska Native,1735-0,Alaska Native,false,Alaska Native
2,1002-5,American Indian or Alaska Native,1006-6,Abenaki,false,Abenaki
2,1002-5,American Indian or Alaska Native,1008-2,Algonquian,false,Algonquian
2,1002-5,American Indian or Alaska Native,1010-8,Apache,false,Apache
2,1002-5,American Indian or Alaska Native,1021-5,Arapaho,false,Arapaho
2,1002-5,American Indian or Alaska Native,1026-4,Arikara,false,Arikara
2,1002-5,American Indian or Alaska Native,1028-0,Assiniboine,false,Assiniboine
2,1002-5,American Indian or Alaska Native,1030-6,Assiniboine Sioux,false,Assiniboine Sioux
2,1002-5,American Indian or Alaska Native,1033-0,Bannock,false,Bannock
2,1002-5,American Indian or Alaska Native,1035-5,Blackfeet,false,Blackfeet
2,1002-5,American Indian or Alaska Native,1037-1,Brotherton,false,Brotherton
2,1002-5,American Indian or Alaska Native,1039-7,Burt Lake Band,false,Burt Lake Band
2,1002-5,American Indian or Alaska Native,1041-3,Caddo,false,Caddo
2,1002-5,American Indian or Alaska Native,1044-7,Cahuilla,false,Cahuilla
2,1002-5,American Indian or Alaska Native,1053-8,California Tribes,false,California Tribes
2,1002-5,American Indian or Alaska Native,1068-6,Canadian and Latin American Indian,false,Canadian and Latin American Indian
2,1002-5,American Indian or Alaska Native,1076-9,Catawba,false,Catawba
2,1002-5,American Indian or Alaska Native,1078-5,Cayuse,false,Cayuse
2,1002-5,American Indian or Alaska Native,1080-1,Chehalis,false,Chehalis
2,1002-5,American Indian or Alaska Native,1082-7,Chemakuan,false,Chemakuan
2,1002-5,American Indian or Alaska Native,1086-8,Chemehuevi,false,Chemehuevi
2,1002-5,American Indian or Alaska Native,1088-4,Cherokee,false,Cherokee
2,1002-5,American Indian or Alaska Native,1100-7,Cherokee Shawnee,false,Cherokee Shawnee
2,1002-5,American Indian or Alaska Native,1102-3,Cheyenne,false,Cheyenne
2,1002-5,American Indian or Alaska Native,1106-4,Cheyenne-Arapaho,false,Cheyenne-Arapaho
2,1002-5,American Indian or Alaska Native,1108-0,Chickahominy,false,Chickahominy
2,1002-5,American Indian or Alaska Native,1112-2,Chickasaw,false,Chickasaw
2,1002-5,American Indian or Alaska Native,1114-8,Chinook,false,Chinook
