concept_id	concept_name	depth	parent_code	parent_display	code	display	is_abstract	definition
8657	American Indian or Alaska Native	1	1000-9	Race	1002-5	American Indian or Alaska Native	0	American Indian or Alaska Native
38003572	American Indian	2	1002-5	American Indian or Alaska Native	1004-1	American Indian	0	American Indian
38003573	Alaska Native	2	1002-5	American Indian or Alaska Native	1735-0	Alaska Native	0	Alaska Native
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1006-6	Abenaki	0	Abenaki
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1008-2	Algonquian	0	Algonquian
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1010-8	Apache	0	Apache
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1021-5	Arapaho	0	Arapaho
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1026-4	Arikara	0	Arikara
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1028-0	Assiniboine	0	Assiniboine
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1030-6	Assiniboine Sioux	0	Assiniboine Sioux
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1033-0	Bannock	0	Bannock
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1035-5	Blackfeet	0	Blackfeet
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1037-1	Brotherton	0	Brotherton
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1039-7	Burt Lake Band	0	Burt Lake Band
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1041-3	Caddo	0	Caddo
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1044-7	Cahuilla	0	Cahuilla
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1053-8	California Tribes	0	California Tribes
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1068-6	Canadian and Latin American Indian	0	Canadian and Latin American Indian
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1076-9	Catawba	0	Catawba
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1078-5	Cayuse	0	Cayuse
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1080-1	Chehalis	0	Chehalis
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1082-7	Chemakuan	0	Chemakuan
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1086-8	Chemehuevi	0	Chemehuevi
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1088-4	Cherokee	0	Cherokee
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1100-7	Cherokee Shawnee	0	Cherokee Shawnee
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1102-3	Cheyenne	0	Cheyenne
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1106-4	Cheyenne-Arapaho	0	Cheyenne-Arapaho
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1108-0	Chickahominy	0	Chickahominy
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1112-2	Chickasaw	0	Chickasaw
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1114-8	Chinook	0	Chinook
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1123-9	Chippewa	0	Chippewa
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1150-2	Chippewa Cree	0	Chippewa Cree
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1153-6	Chitimacha	0	Chitimacha
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1155-1	Choctaw	0	Choctaw
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1162-7	Chumash	0	Chumash
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1165-0	Clear Lake	0	Clear Lake
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1167-6	Coeur D'Alene	0	Coeur D'Alene
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1169-2	Coharie	0	Coharie
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1171-8	Colorado River	0	Colorado River
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1173-4	Colville	0	Colville
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1175-9	Comanche	0	Comanche
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1178-3	Coos, Lower Umpqua, Siuslaw	0	Coos, Lower Umpqua, Siuslaw
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1180-9	Coos	0	Coos
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1182-5	Coquilles	0	Coquilles
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1184-1	Costanoan	0	Costanoan
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1186-6	Coushatta	0	Coushatta
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1189-0	Cowlitz	0	Cowlitz
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1191-6	Cree	0	Cree
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1193-2	Creek	0	Creek
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1207-0	Croatan	0	Croatan
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1209-6	Crow	0	Crow
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1211-2	Cupeno	0	Cupeno
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1214-6	Delaware	0	Delaware
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1222-9	Diegueno	0	Diegueno
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1233-6	Eastern Tribes	0	Eastern Tribes
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1250-0	Esselen	0	Esselen
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1252-6	Fort Belknap	0	Fort Belknap
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1254-2	Fort Berthold	0	Fort Berthold
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1256-7	Fort Mcdowell	0	Fort Mcdowell
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1258-3	Fort Hall	0	Fort Hall
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1260-9	Gabrieleno	0	Gabrieleno
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1262-5	Grand Ronde	0	Grand Ronde
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1264-1	Gros Ventres	0	Gros Ventres
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1267-4	Haliwa	0	Haliwa
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1269-0	Hidatsa	0	Hidatsa
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1271-6	Hoopa	0	Hoopa
8657	American Indian or Alaska Native	2	1002-5	American Indian or Alaska Native	1275-7	Hoopa Extension	0	Hoopa Extension
